,cleaned_tweets,binarized
0,"realDonaldTrump  SenatorCollins Deadliest events in US history:
1. 675,000 1918 Flu Pandemic
2. 620,000  Civil War
3. 405,399  WWII
4. 217,900  COVID-19 (as of 10/16)
5. 162,950  WWI
 Trump still downplaying COVID-19 and working hard on his history book entry and Donald  Trump is one of the biggest tax cheats.",1
1,"kylegriffin1 The vote counting is torturing  Trump like he's tortured the  USA for the past 4 years.  KARMA comes at you like a bitch, but not when it can be more excruciating to do it slowly. Enjoy the  TrumpTweetStorm in the meantime.",0
2,"Donald  Trump Has At Least $1 Billion In Debt, More Than Twice The Amount He Suggested via  forbes   

 TrumpCorruption  GOP  MAGA",0
3,"matthewjdowd Many are still uneducated about what's happening w/energy, climate change, environmental protections. 

 trump leads w/bogus threats, misinformation, lies, exaggeration--he's mired in an old world of Ozzie and Harriett, doesn't really know much.",0
4,"I agree 1000%!!!

"" Hey ho, hey ho  Trump has got to go!!!"" 

 TrumpUnfitToServe

 TrumpIsADangerToAmerica

 TrumpIsADangerToOurPlanet 

 TrumpIsADangerToOurFuture 

 DumpTrump2020 

 GOPVoteThemAllOut2020 

 DumpMitchMcConnell 

I wish you health&amp;strength.

 StayStrongAmerica!",0
5,"TRUMP threats to Americans..
Yes, I agree  juliettekayyem.  DT's threats regarding the Michigan governor are indeed  Terrorism.
 Trump is promoting terrorism, violence in furtherance of political goals.  
Suburban Women, all American women, Vote Him Out!
ENUF!  We can do better!",0
6,"realDonaldTrump Just another day in which the  Unhinged  TwoFace  Trump flips his coin and instead of ""peace"" it lands on ""war"" 
 DonTheCon thinks that he can play Jewish voters for FOOLS just like the  TrumpTrain.  ADL will  NeverForget  Trump's white supremacism!
 MAGA!",1
7,"US Election 2020: Dueling town halls for Donald Trump, Joe Biden after debate plan nixed. READ ➡️ 

 USElections  USElections2020  JoeBiden  DonaldTrump",0
8,"realDonaldTrump  Trump NEVER believed in  AmericaFirst (except for  CoronaVirus DEATHS). As  Trump's own sister confessed,  POTUS' ONLY policy is  TrumpFirst!
The  TrumpCrimeFamily has used the  WhiteHouse to pocket  TrumpTrain $, playing them for FOOLS!

 MAGA2020!",1
9,400 pages that's 400 pages will be used to convict her of being a full partner and for  donaldtrump know but don't recall being friends flew on his plane accused raping 13-yr-old  NYC don't know him  JeffreyEpstein's House of sexual horrors even with all the recalls don't recall,0
10,Didn’t  Trump say we would have a vaccine 💉 by  ElectionDay? 🤔  ElectionNight  Elections2020  ElectionNight  BidenHarris2020,0
11,No wonder  Trump and  Rush are such good friends.  VoteHimOut,0
12,"100,000 CASES IN A DAY -  Biden  Harris  Trump  Pence  GOP  Republican  Democrat  Democrats  COVID19  Covid  Coronavirus  Pandemic  Virus",0
13,"This is how a President should lead in a public health crisis, but, sadly, we had  Trump.
We need  BidenHarris to literally and figuratively heal America.
 DumpTrumpDayNov3",0
